"region","year","item","value"
"DEU",1990,"heat pumps",0.428916244267439
"DEU",1991,"heat pumps",0.427475592747559
"DEU",1992,"heat pumps",0.435018903591682
"DEU",1993,"heat pumps",0.405800518745579
"DEU",1994,"heat pumps",0.423682914820286
"DEU",1995,"heat pumps",0.399637927132835
"DEU",1996,"heat pumps",0.425164660458778
"DEU",1997,"heat pumps",0.459186189889026
"DEU",1998,"heat pumps",0.462922441040603
"DEU",1999,"heat pumps",0.473441668687849
"DEU",2000,"heat pumps",0.475849318234343
"DEU",2001,"heat pumps",0.45627294320881
"DEU",2002,"heat pumps",0.458080702487978
"DEU",2003,"heat pumps",0.438943894389439
"DEU",2004,"heat pumps",0.472034419176398
"DEU",2005,"heat pumps",0.44185598767809
"DEU",2006,"heat pumps",0.446104987857276
"DEU",2007,"heat pumps",0.47986057319907
"DEU",2008,"heat pumps",0.568070747032814
"DEU",2009,"heat pumps",0.498418972332016
"DEU",2010,"heat pumps",0.629400044277175
"DEU",2011,"heat pumps",0.61937308508131
"DEU",2012,"heat pumps",0.61263353460288
"DEU",2013,"heat pumps",0.577906201378084
"DEU",2014,"heat pumps",0.587675218196244
"DEU",2015,"heat pumps",0.56447628458498
"DEU",2016,"heat pumps",0.587381071607411
"DEU",2017,"heat pumps",0.582675222112537
"DEU",2018,"heat pumps",0.585421994884911
"DEU",2019,"heat pumps",0.583898075359176
"DEU",2020,"heat pumps",0.58460260315702
"DEU",2021,"heat pumps",0.566309181271253
"DEU",2022,"heat pumps",0.550025012506253
"DEU",2023,"heat pumps",0.535002430724356
"DEU",2024,"heat pumps",0.521083627797409
"DEU",2025,"heat pumps",0.507493188010899
"DEU",2030,"heat pumps",0.364496844902026
"DEU",2035,"heat pumps",0.302615854468198
"DEU",2040,"heat pumps",0.259347984584939
"DEU",2045,"heat pumps",0.227356130108424
"DEU",2050,"heat pumps",0.20520534527391
"DEU",2055,"heat pumps",0.189839077625008
"DEU",2060,"heat pumps",0.178583492849904
"DEU",2065,"heat pumps",0.169686466046951
"DEU",2070,"heat pumps",0.162410116538557
"DEU",2075,"heat pumps",0.159234440534156
"DEU",2080,"heat pumps",0.156984981581184
"DEU",2085,"heat pumps",0.155402255989559
"DEU",2090,"heat pumps",0.154440690516962
"DEU",2095,"heat pumps",0.153966934515563
"DEU",2100,"heat pumps",0.154120535507481
"DEU",1990,"resistive heating",0.410472972972973
"DEU",1991,"resistive heating",0.410283668102725
"DEU",1992,"resistive heating",0.418044077134986
"DEU",1993,"resistive heating",0.388735099711881
"DEU",1994,"resistive heating",0.40688744900408
"DEU",1995,"resistive heating",0.383360159849031
"DEU",1996,"resistive heating",0.408795153690823
"DEU",1997,"resistive heating",0.442839506172839
"DEU",1998,"resistive heating",0.447076239822354
"DEU",1999,"resistive heating",0.458026693276787
"DEU",2000,"resistive heating",0.46094835397161
"DEU",2001,"resistive heating",0.441949056174665
"DEU",2002,"resistive heating",0.443620585489098
"DEU",2003,"resistive heating",0.424365482233503
"DEU",2004,"resistive heating",0.457779219375068
"DEU",2005,"resistive heating",0.427741540970241
"DEU",2006,"resistive heating",0.432903714935557
"DEU",2007,"resistive heating",0.467199573674394
"DEU",2008,"resistive heating",0.555814254300867
"DEU",2009,"resistive heating",0.484698493799564
"DEU",2010,"resistive heating",0.617367290579933
"DEU",2011,"resistive heating",0.608398633715089
"DEU",2012,"resistive heating",0.601651800462504
"DEU",2013,"resistive heating",0.566736150590613
"DEU",2014,"resistive heating",0.576905591756327
"DEU",2015,"resistive heating",0.553790511311254
"DEU",2016,"resistive heating",0.576981541802389
"DEU",2017,"resistive heating",0.57272465437788
"DEU",2018,"resistive heating",0.575759844288067
"DEU",2019,"resistive heating",0.574258213348182
"DEU",2020,"resistive heating",0.57410071942446
"DEU",2021,"resistive heating",0.556439886737583
"DEU",2022,"resistive heating",0.540316669110101
"DEU",2023,"resistive heating",0.525231646471846
"DEU",2024,"resistive heating",0.511258461113413
"DEU",2025,"resistive heating",0.497993579454254
"DEU",2030,"resistive heating",0.383774031685178
"DEU",2035,"resistive heating",0.349301837849771
"DEU",2040,"resistive heating",0.332319134550372
"DEU",2045,"resistive heating",0.325074754378471
"DEU",2050,"resistive heating",0.325916769674495
"DEU",2055,"resistive heating",0.330631465184499
"DEU",2060,"resistive heating",0.334707961622622
"DEU",2065,"resistive heating",0.335783228548658
"DEU",2070,"resistive heating",0.334269662921348
"DEU",2075,"resistive heating",0.333151878062058
"DEU",2080,"resistive heating",0.332847380410023
"DEU",2085,"resistive heating",0.333272126331252
"DEU",2090,"resistive heating",0.334322820037106
"DEU",2095,"resistive heating",0.335932362611555
"DEU",2100,"resistive heating",0.338259128610926
